Name;Currency;Type;Sub Type;Market;Isin Code;Industry;Supersector;Sector;Subsector;Average Training Hours Per Employee;Number Of Female Board Members;Number Of Board Members;Market Cap In Usd;Carbon Footprint (Total Ghg Emissions / Enterprise Value)_In_Usd;Share Of Women In Total Workforce In %;Share Of Women In Management Bodies In %;Gender Pay Gap In %;Rate Of Employees With Disabilities In %;Board Gender Diversity (Female Board Members / Total Board Members) In %;Total Energy Consumption In Mwh;Rate Of Resignation In %;Component;Isin;Ticker;Trading Location;Issuer Country;Turnover;Turnover In Eur;Volume;Roa;Roe;Roic;Ccy;Index;Component;Ticker
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Bosa Milano;Netherlands;53411712.575;53411712.575;1334676.0;12.8;25.9;23.2;EUR;MIB;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Bosa Milano;Netherlands;83107070.94;83107070.94;2072125.0;12.8;25.9;23.2;EUR;CAC_40;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Bosa Milano;Netherlands;83107070.94;83107070.94;2072125.0;12.8;25.9;23.2;EUR;CAC_40;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Bosa Milano;Netherlands;83107070.94;83107070.94;2072125.0;12.8;25.9;23.2;EUR;MIB;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Bosa Milano;Netherlands;83107070.94;83107070.94;2072125.0;12.8;25.9;23.2;EUR;MIB;STMICROELECTRONICS NV;STM
TELEPERFORMANCE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000051807;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205020, Professional Business Support Services;;7.0;16.0;5892490000.0;25.5623;;;;;0.438;317975.0;;Teleperformance Se;FR0000051807;TEP;Euronext Paris;France;23447528.96;23447528.96;259955.0;6.3;15.2;10.5;EUR;CAC_40;TELEPERFORMANCE SE;TEP
THALES;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000121329;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201020, Defense;;;;34986860000.0;;;;;;;;;Thales;FR0000121329;HO;Euronext Paris;France;40615927.4;40615927.4;256651.0;2.7;12.9;10.0;EUR;CAC_40;THALES;HO
TOTALENERGIES;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120271;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;48.64;6.0;14.0;171981100000.0;1880.7629;0.363;0.275;;0.06;0.429;167000000.0;0.091;Totalenergies Se;FR0000120271;TTE;Euronext Paris;France;219069789.68;219069789.68;3452878.0;5.8;7.8;11.6;EUR;CAC_40;TOTALENERGIES SE;TTE
UNIBAIL-RODAMCO-WESTFIELD;EUR;Stock;Ordinary Shares;Euronext Paris;FR0013326246;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102045, Retail REITs;19.0;6.0;10.0;11050960000.0;80.6352;0.542;0.167;0.043;0.008;0.6;592834.0;0.094;Unibail-Rodamco-We;FR0013326246;URW;Euronext Paris;France;24218467.7;24218467.7;324959.0;1.7;8.1;2.8;EUR;CAC_40;UNIBAIL-RODAMCO-WE;URW
VEOLIA ENVIRON.;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000124141;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102030, Water;26.0;7.0;13.0;22199290000.0;1396.880613;0.223;0.222;;0.024;0.538;122000000.0;0.086;Veolia Environnement Sa;FR0000124141;VIE;Euronext Paris;France;48897763.4;48897763.4;1620647.0;2.4;2.0;6.2;EUR;CAC_40;VEOLIA ENVIRONNEMENT SA;VIE
